,node,bridge_cent,clustering_coeff,bet_cent,degree,essential,bins_bridge_cent,bins_bet_cent,bins_clustering_coeff,bins_degree
0,2AGPEAT120,0.0,0.0,0.0,0.7781512503836436,False,"[0.0, 0.5)","[0.0, 0.5)","[0.0, 0.1)","[0.75, 1.0)"
1,APH120,0.9225439228793254,0.16666666666666666,1.088515772083531,0.6020599913279624,False,"[0.5, 1.0)","[1.0, 1.5)","[0.1, 0.20000000000000004)","[0.5, 0.75)"
2,FA120ACPHi,2.19140530961354,0.13333333333333333,3.2985464721306643,1.2304489213782739,False,"[2.0, 2.5)","[3.0, 3.5)","[0.1, 0.20000000000000004)","[1.0, 1.25)"
3,FACOAE120,2.297471595210099,0.5278195488721804,3.7173938184883224,1.568201724066995,False,"[2.0, 2.5)","[3.5, 4.0)","[0.5000000000000001, 0.6000000000000001)","[1.5, 1.75)"
4,LPLIPAL2A120,0.0,0.04433497536945813,0.0,1.462397997898956,False,"[0.0, 0.5)","[0.0, 0.5)","[0.0, 0.1)","[1.25, 1.5)"
5,LPLIPAL2E120,0.0,0.0,0.0,0.6020599913279624,False,"[0.0, 0.5)","[0.0, 0.5)","[0.0, 0.1)","[0.5, 0.75)"
6,LPLIPAL2G120,0.0,0.0,0.0,0.6020599913279624,False,"[0.0, 0.5)","[0.0, 0.5)","[0.0, 0.1)","[0.5, 0.75)"
7,2AGPGAT120,2.3486235458779396,0.0,3.438387395206172,0.9030899869919435,False,"[2.0, 2.5)","[3.0, 3.5)","[0.0, 0.1)","[0.75, 1.0)"
8,AACPS7,1.7102627233982128,0.055213148433487416,4.052979694271676,1.7993405494535817,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
9,ACPPAT120,2.290211322279595,0.14074074074074075,3.409207708055775,1.2304489213782739,False,"[2.0, 2.5)","[3.0, 3.5)","[0.1, 0.20000000000000004)","[1.0, 1.25)"
10,AACPS1,1.9016751770246905,0.054504728720756596,4.251231572428459,1.806179973983887,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
11,AACPS2,1.7833716713416297,0.05593849416755037,4.119233076969291,1.792391689498254,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
12,AACPS3,1.6964512398088947,0.05593849416755037,4.03221935072703,1.792391689498254,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
13,AACPS4,1.8200622165532512,0.055213148433487416,4.16287248213624,1.7993405494535817,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
14,AACPS5,1.6936114060134972,0.057724957555178265,4.015232372526548,1.7781512503836436,False,"[1.5, 2.0)","[4.0, 4.5)","[0.0, 0.1)","[1.75, 2.0)"
15,AACPS6,1.6387721936255382,0.057724957555178265,3.9603931601385893,1.7781512503836436,False,"[1.5, 2.0)","[3.5, 4.0)","[0.0, 0.1)","[1.75, 2.0)"
16,AACPS8,1.1010490394708892,0.06372218476062036,3.274620097478361,1.7403626894942439,False,"[1.0, 1.5)","[3.0, 3.5)","[0.0, 0.1)","[1.5, 1.75)"
17,AACPS9,1.7488150890745022,0.062459336369551074,3.9300843484707433,1.7481880270062005,False,"[1.5, 2.0)","[3.5, 4.0)","[0.0, 0.1)","[1.5, 1.75)"
18,ACOATA,2.0939098585636673,0.24455089820359283,4.934096210361369,2.2013971243204513,False,"[2.0, 2.5)","[4.5, 5.0)","[0.20000000000000004, 0.30000000000000004)",
19,EAR120x,2.379731086895574,0.023809523809523808,3.040800061256529,0.8450980400142568,False,"[2.0, 2.5)","[3.0, 3.5)","[0.0, 0.1)","[0.75, 1.0)"
20,EAR120y,2.379731086895574,0.023809523809523808,3.040800061256529,0.8450980400142568,False,"[2.0, 2.5)","[3.0, 3.5)","[0.0, 0.1)","[0.75, 1.0)"
21,MCOATA,2.3074408641354704,0.19876480967985882,5.141620997057532,2.1903316981702914,True,"[2.0, 2.5)","[5.0, 5.5)","[0.1, 0.20000000000000004)",
22,UAGAAT,2.08628050875639,0.1517346549752192,4.5699263299040975,1.863322860120456,True,"[2.0, 2.5)","[4.5, 5.0)","[0.1, 0.20000000000000004)","[1.75, 2.0)"
23,3OXCOAT,1.5536093118117604,0.5109985528219971,3.6639679436141197,1.9242792860618816,False,"[1.5, 2.0)","[3.5, 4.0)","[0.5000000000000001, 0.6000000000000001)","[1.75, 2.0)"
24,ACACT1r,1.3989145054760692,0.539267548321465,3.549194021642147,2.0,False,"[1.0, 1.5)","[3.5, 4.0)","[0.5000000000000001, 0.6000000000000001)",
25,ACACT2r,1.8378794221477435,0.5181818181818182,4.01737513868059,2.0086001717619175,False,"[1.5, 2.0)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
26,ACACT3r,1.828048873736113,0.5139953987730062,4.011710869626936,2.012837224705172,False,"[1.5, 2.0)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
27,ACACT4r,1.8805408268637178,0.5192570869990225,4.060036543396565,2.0086001717619175,False,"[1.5, 2.0)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
28,ACACT5r,1.845776226249814,0.5192570869990225,4.025271942782661,2.0086001717619175,False,"[1.5, 2.0)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
29,ACACT6r,1.9568178167840915,0.5192570869990225,4.1363135333169385,2.0086001717619175,False,"[1.5, 2.0)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
30,ACACT7r,2.012609213615235,0.5192570869990225,4.19191109439333,2.0086001717619175,False,"[2.0, 2.5)","[4.0, 4.5)","[0.5000000000000001, 0.6000000000000001)",
