,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
0,3.4699714640540336e-07,1.1609062316730867e-06,0,-1,23CN2P1,False
1,-8.42741487405152e-05,-0.06997862948527067,0,-1,3NUCLE1,False
2,-0.00037127494344499357,9.492602667804384e-07,0,-1,ADNK1,False
3,-2.0280093908919827e-06,9.492602667804384e-07,0,-1,NTD7,False
4,-0.00022403707606738488,-0.06997862948526595,0,-1,PUNP1,False
5,-1.4351870980214287e-05,6.759875786355174e-07,0,-1,ADD,False
6,-0.0009099579417435888,3.597922406672893e-07,0,-1,ADPT,False
7,8.043092725697198e-05,4.883146794976145e-07,0,-1,AHCYSNS,False
8,-0.0001528358053922707,-6.532226252409234e-07,0,-1,MTAN,False
9,-0.00041106728474279985,7.606274111948697e-07,0,-1,PPM,False
10,-0.00034608854803731826,7.003035457087137e-07,0,-1,PUNP2,False
11,-0.033076339418317,4.09774126616802e-07,745,-1,PUNP3,False
12,0.00016518723014420644,6.489250060914831e-07,0,-1,PUNP5,False
13,0.0006980356139344168,2.2078082169418867e-07,0,-1,PUNP7,False
14,0.00019157186938986714,8.442515483653157e-07,0,-1,PUNP8,False
15,0.0002497702207516911,6.403140305477617e-07,0,-1,PYNP1,False
16,0.00018279924675890236,6.385535793324015e-07,0,-1,PYNP2r,False
17,-0.023760821052771844,-0.06997862948527352,745,-1,PNP,False
18,-0.0002863639520599842,-1.9708703954679496e-06,0,-1,HXPRT,False
19,-0.0004179920272246729,-0.06997862948527302,0,-1,PUNP6,False
20,-0.00020146267915191474,3.9475236618402576e-07,0,-1,HXAND,False
21,-3.009791360471248e-05,9.29459713222558e-08,0,-1,ATPPRT,True
22,-0.0004540373556070898,-1.0146224379281588e-06,0,-1,GUAPRT,False
23,0.0002546665680077803,-2.3771393936611318e-07,0,-1,NAPRT,False
24,1.044967086800963e-05,-4.2384255410365945e-06,0,-1,ORPT,True
25,-4.871268406642093e-05,-4.5750082516837765e-07,0,-1,PRPPS,True
26,-3.864774364234491e-05,-4.3337775337687345e-06,0,-1,AMMQT7,True
27,-0.0005970112508518893,3.4510324750658405e-08,0,-1,CYTOM,False
28,-7.00296752562668e-05,-3.7407787001342285e-07,0,-1,RHCYS,False
29,4.926773877708679e-05,-0.06997862948526584,0,-1,UPP3MT_2,False
30,-8.95454518926031e-06,8.697023282933092e-07,0,-1,MTRK,False
31,-3.7318163224595025e-05,-8.339957647679475e-07,0,-1,SPMS,False
32,-2.7395553262032912e-05,4.5060928832718616e-07,0,-1,SPRMS,False
33,2.5793821926411997e-06,7.899003147959771e-07,0,-1,ADPRDP,False
34,-0.0005439166881346935,-2.425542423870053e-06,0,-1,PYRIS,False
35,-5.2253086076259336e-05,5.567873840178761e-07,0,-1,RBK,False
36,-7.502780286038069e-05,9.398829599327474e-08,0,-1,RPI,False
37,-4.9450313792248624e-05,-1.945353733004418e-06,0,-1,TKT1,False
38,9.367846252975043e-05,6.551709359897684e-07,0,-1,DADNK,False
39,-0.000939828457068484,6.831135751922401e-07,0,-1,DURIPP,False
40,3.3996788576545756e-05,6.551709360314018e-07,0,-1,NTD6,False
41,-0.0005343851665047666,8.314990241758968e-07,0,-1,PPM2,False
42,-0.02777377326512276,5.763405695191626e-07,0,-1,PUNP4,False
43,-0.02875976733795734,6.847367182427622e-07,0,-1,TMDPP,False
44,0.00010621679661579342,-0.06997862948527828,0,-1,3NUCLE4,False
45,-0.00036323785150725596,4.4441283657270514e-07,0,-1,GUAD,False
46,0.00015076326048087119,-5.381238576268599e-07,0,-1,NTD9,False
47,0.000479212392711606,6.090026443417162e-07,0,-1,NTD10,False
48,-0.0005639158750266188,-2.6229008802947096e-06,0,-1,XAND,False
49,-0.00015802181201578225,9.146221349731753e-08,0,-1,XPPT,False
50,9.599964685796936e-05,-0.06997862948526205,0,-1,3NUCLE3,False
51,0.0001086978093411406,7.121962324191378e-07,0,-1,CYTD,False
52,4.493759076364123e-05,8.65194457216889e-07,0,-1,CYTDK1,False
53,4.447682577929379e-06,-2.1989044933362623e-06,0,-1,CYTDK2,False
54,5.1944169475404145e-05,8.269573398556052e-07,0,-1,ITCY,False
55,0.00036785926823661164,-8.675094602533795e-07,0,-1,NTD4,False
56,0.00013997575328224265,-0.06997862948526568,0,-1,3NUCLE2,False
57,0.0005144940010855248,6.639339188568849e-07,0,-1,NTD2,False
58,0.0002214762527184,3.3425899888250843e-07,0,-1,UPPRT,False
59,2.1881722334096687e-05,8.604591779370896e-07,0,-1,URIK1,False
60,-0.0002277781969856063,-2.3917706432480257e-06,0,-1,URIK2,False
61,6.470200942305937e-05,8.10408125273554e-07,0,-1,URIK3,False
62,4.934705205647538e-05,-0.06997862948526663,0,-1,NMNHYD,False
63,-0.00012605548911211184,7.585562159795334e-07,0,-1,NNAM,False
64,5.31746008209516e-05,-1.1162898276725897e-05,0,-1,ADSS,True
65,-7.995968241443496e-05,1.2858639569790498e-08,0,-1,ANPRT,True
66,-0.0002561308221395997,-3.519301889520765e-06,0,-1,GLUPRT,True
67,-0.00021459793332850863,-3.200592558483262e-07,0,-1,GMPR,False
68,-9.947055353266843e-05,2.2600813166795408e-07,0,-1,IMPC,True
69,3.1851770591340145e-06,2.2367589840033286e-07,0,-1,IMPD,False
