,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
0,3.7259370205544595e-06,2.3518639605257796e-07,0,-1,2AGPEAT120,False
1,2.853982659090093e-06,2.845035389636985e-07,0,-1,APH120,False
2,-2.6275180337043125e-08,2.525431665317823e-07,0,-1,FA120ACPHi,False
3,-1.8081361045585442e-05,-1.4532062207750496e-07,0,-1,FACOAE120,False
4,1.5388770827629017e-06,8.424617452262861e-08,0,-1,LPLIPAL2A120,False
5,9.24172659885758e-07,2.835266334905162e-07,0,-1,LPLIPAL2E120,False
6,9.961433989486013e-07,2.8274664466698685e-07,0,-1,LPLIPAL2G120,False
7,7.6008330522764345e-06,2.197583264390568e-07,0,-1,2AGPGAT120,False
8,2.771446258093696e-05,1.5906764735951207e-07,0,-1,AACPS7,False
9,-2.6852329168061684e-06,2.492891524458196e-07,0,-1,ACPPAT120,False
10,3.128492498111202e-05,1.5915080746331522e-07,0,-1,AACPS1,False
11,3.116786829300555e-05,1.5918620893673463e-07,0,-1,AACPS2,False
12,3.135248807935309e-05,1.5898448382789532e-07,0,-1,AACPS3,False
13,3.2075541802303875e-05,1.538317587757021e-07,0,-1,AACPS4,False
14,4.315750426187037e-05,1.5125026378570716e-07,0,-1,AACPS5,False
15,3.966135912816804e-05,1.5805858556705576e-07,0,-1,AACPS6,False
16,6.072546870392048e-06,1.6467842668677068e-07,0,-1,AACPS8,False
17,2.1207811259416065e-05,1.6693712980020425e-07,0,-1,AACPS9,False
18,-0.0005533851185595129,-1.7804871259713417e-06,0,0,ACOATA,False
19,-1.1089167073208284e-06,2.6547308905333633e-07,0,-1,EAR120x,False
20,-1.1089167075081785e-06,2.6547308905333633e-07,0,-1,EAR120y,False
21,-0.0004206049589032812,-1.7324244484112628e-06,0,0,MCOATA,True
22,0.0001293400518316279,-4.884543015892806e-08,0,-1,UAGAAT,True
23,-0.00011842953982350163,8.695343538256406e-08,1248,-1,3OXCOAT,False
24,-5.738731405002806e-05,4.398268471650368e-09,0,-1,ACACT1r,False
