,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
0,-7.582021828433927e-07,3.1638892513674577e-06,-1,-1,DM_5drib_c,True
1,-4.8567117405459714e-06,-0.09434481275388636,-1,-1,5DOAN,True
2,8.097400497633633e-06,1.6354339994473222e-06,-1,-1,ADD,False
3,-8.900601207943726e-06,-5.816586954490721e-06,-1,-1,ADPT,False
4,1.0997441895199689e-06,-0.09434481275389016,-1,-1,BTS5,True
5,9.865641373424383e-07,-0.09434481275388376,-1,-1,CDGS1,False
6,1.8678936511626332e-05,-6.516660188526924e-06,-1,-1,CPPPGOAN2,True
7,2.0184291758262862e-06,2.0542020412323003e-06,-1,-1,DHXFUTC,True
8,-8.435503945691813e-06,-2.791255541122195e-05,-1,-1,PUNP1,False
9,1.6582897278821784e-06,4.772217010173829e-07,-1,-1,TYRL,True
10,1.3105837639554307e-05,-5.897509613717045e-06,-1,-1,HXPRT,True
11,1.994786583102426e-06,-0.09434481275388718,-1,-1,MTAP,False
12,6.456449740635528e-06,-1.0328109862928203e-05,-1,-1,GUAPRT,False
13,-1.4487934611590036e-06,-1.1341542094825408e-05,-1,-1,ORPT,True
14,1.5771420092333677e-06,-0.00016024988928406425,-1,-1,PRPPS,True
15,8.028737699811161e-07,-0.09434481275388709,-1,-1,AMAOTr,False
16,-1.2683223959628065e-06,3.806690323196471e-06,-1,-1,BACCL,False
17,1.896380787042018e-06,3.607647763012589e-06,-1,-1,DBTS,False
18,-1.2151676393006017e-05,4.01126472968083e-07,-1,-1,DPLPTAT,False
19,2.437667562013579e-06,2.099395864416098e-06,-1,-1,I2FE2SR,False
20,-1.692141077175302e-06,3.3652848927534507e-06,-1,-1,I2FE2ST,True
21,-1.465399530160838e-05,8.469967327923156e-07,-1,-1,METAT,True
22,4.639141321677309e-06,9.510799436895923e-07,-1,-1,METOX1s,False
23,4.639141319706663e-06,9.510799436895923e-07,-1,-1,METOX2s,False
24,5.763863830873794e-07,1.5188918351949354e-06,-1,-1,METTRS,False
25,9.115410802285062e-07,1.067138718294225e-06,-1,-1,CPH4S,False
26,-6.395769813066776e-07,-0.0943448127538808,-1,-1,CCGS,False
27,1.5197347389278582e-06,2.974032554670103e-06,-1,-1,FLNDPR2r,False
28,1.5517570172568496e-07,-8.063439496899805e-06,-1,-1,POR5,False
29,2.740297183487228e-06,2.751728550784427e-06,-1,-1,4HBZR,False
30,2.2053599707874683e-06,-3.0431882803230725e-05,-1,-1,BCR6pp,False
31,3.929699303586998e-06,-0.0943448127538889,-1,-1,BUTAFDOR,False
32,2.618416928328038e-06,2.4749280667091256e-06,-1,-1,FRDPPCR2,False
33,2.6184169254553358e-06,2.4749280667091256e-06,-1,-1,FRNDPR2r,False
34,-4.644901016821745e-06,-3.7945296900571135e-06,-1,-1,GLUSz,False
35,3.937607474038818e-06,2.111316180455902e-06,-1,-1,HDR3,False
36,8.079396434020059e-05,1.7255759244549917e-06,-1,-1,IOR2b,False
37,8.078227172066826e-05,1.7512365745042668e-06,-1,-1,IOR3b,False
38,8.065585402606407e-05,1.5556657180365585e-06,-1,-1,IORb,False
39,-7.552408160832469e-06,-2.589530511035165e-06,-1,-1,MECDPDH4,True
