,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
0,1.5073240409058108e-05,2.040373185407951e-07,0,-1,12DGR120tipp,False
1,6.846785469924455e-05,-0.033634273059826233,0,-1,DAGK120,False
2,-0.025308946350002526,1.1536538743056601e-07,1134,-1,DASYN120,False
3,-3.805888812094538e-05,1.7723728419627438e-07,0,-1,PAPA120,False
4,-8.08125136552984e-05,1.4125795903124905e-07,0,-1,AGPAT120,False
5,2.2030874045980697e-05,1.8360802288980294e-07,0,-1,CDAPPA120,False
6,-9.565873221806243e-05,-4.5798485481113316e-07,0,-1,CTPS2,True
7,-0.00031280827632110264,1.168586240274383e-07,0,-1,NDPK3,False
8,3.434677383168383e-05,1.6484868857469248e-07,0,-1,PGSA120,False
9,3.25820849892966e-05,-0.03363427305982839,0,-1,PSSA120,False
10,2.206304429609729e-05,1.3268344981748337e-07,0,-1,AACPS1,False
11,6.649941891567757e-05,1.3249379033491993e-07,0,-1,AACPS2,False
12,7.462907913048655e-05,1.326594461989461e-07,0,-1,AACPS3,False
13,4.503600535074592e-05,1.317334763911715e-07,0,-1,AACPS4,False
14,0.00010490333502150007,1.31223515845158e-07,0,-1,AACPS5,False
15,0.0001093874407308848,1.323275516246225e-07,0,-1,AACPS6,False
16,8.637339151554291e-05,1.3267775843955887e-07,0,-1,AACPS7,False
17,0.00032078602391011346,1.3361193100525082e-07,0,-1,AACPS8,False
18,0.00031635194468970784,1.336119339750974e-07,0,-1,AACPS9,False
19,0.00020741406809601792,-6.775287030302835e-07,0,0,ACOATA,False
20,9.84548920340833e-06,1.7482192084250503e-07,0,-1,EAR120x,False
21,9.845489205448366e-06,1.7482192084250503e-07,0,-1,EAR120y,False
22,4.807158710876114e-05,1.6018948657825494e-07,0,-1,G3PAT120,False
23,0.0012906821600804363,-6.627288240551588e-07,0,0,MCOATA,True
24,-0.0007624423172963579,6.589911967502804e-08,0,-1,UAGAAT,True
25,0.001063813567002747,5.202022536343609e-08,0,-1,CYTK1,False
26,-0.00027019287441039375,2.3384730221676087e-08,0,-1,NTD4,False
27,9.622152628710468e-05,-2.043314906163829e-08,0,-1,ACGS,True
28,-1.1049384680411611e-05,7.073975338139915e-08,0,-1,ACOTA,True
29,-0.00015020564060126695,-5.1118225224952574e-05,0,-1,ALATA_L,True
30,6.899072410859741e-06,7.875442821492218e-08,0,-1,APTNAT,False
31,-1.9822871005381604e-05,-6.165695513871139e-08,0,-1,ARAT,False
32,-5.184267033300771e-05,-1.7163389341712243e-07,0,-1,ASPTA,True
33,-0.02538560023946429,1.1542802057923351e-07,1134,-1,DASYN140,False
34,-0.025211069456134085,1.1523318834555374e-07,1134,-1,DASYN141,False
35,-0.02520586869915225,1.152417738875533e-07,1134,-1,DASYN160,True
36,-0.02531618749262733,1.1547897189878586e-07,1134,-1,DASYN161,True
37,-0.02483079346740863,1.1467846040835727e-07,1134,-1,DASYN180,False
38,-0.02483315390303005,1.1480990247392242e-07,1134,-1,DASYN181,True
39,-0.00036024217661261015,6.418194847118697e-08,0,-1,DHFS,False
40,2.339997261721627e-05,6.06486329629563e-08,0,-1,GGPTRCS,False
41,-6.638329884967042e-05,-0.033634273059822195,0,-1,GLNS,True
