,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
0,2.9692789491747584e-07,9.414772938406979e-07,0,-1,13BGH,False
1,1.3366601375741638e-07,1.0732598588469866e-06,0,-1,13GS,True
2,8.835610984525566e-08,-7.111942919302283e-07,0,-1,GLUK,False
3,1.272942648927744e-07,-6.086766084004158e-07,0,-1,HEX1,False
4,6.234858218601147e-07,8.643014625803191e-07,0,-1,SBTR,False
5,5.41345416216199e-07,-1.9291099835408443e-06,0,-1,GALUi,False
6,-1.2129076980768594e-06,1.019328127273289e-06,0,-1,NDP7,False
7,6.5702967390057765e-06,-1.8768411079381209e-06,0,-1,NDPK2,True
8,-6.042512201993866e-06,-5.058800093271643e-07,0,-1,RNDR4,False
9,8.571196113971169e-09,1.0842792268206392e-06,0,-1,UDPG4E,False
10,-1.2907635166606313e-06,9.332183977320274e-07,0,-1,UGLT,False
11,9.85293596829362e-07,-1.079288429386982e-05,0,-1,UMPK,True
12,4.903978746070847e-07,8.381983576735696e-07,0,-1,DGGH,False
13,1.522987987667701e-07,-8.501711495981223e-07,0,-1,G6PI,False
14,-5.789174229720029e-07,-3.251422255101666e-06,0,-1,G6PI3,False
15,4.903978746972903e-07,8.381983529065495e-07,0,-1,GALS3,False
16,2.3243136557105082e-07,8.788247208776911e-07,0,-1,GLCGSD,False
17,3.191966039609029e-07,1.0059198331455188e-06,0,-1,MALT,False
18,9.357930018938365e-07,9.66261981108496e-07,0,-1,TREH,False
19,-1.4065174290534e-07,-2.1549369820170194e-06,0,-1,G6PDH2r,False
20,4.842241205990638e-07,-1.342607853706268e-06,0,-1,MI1PS,True
21,-7.887931489369837e-07,-8.821704886460835e-06,0,-1,PGI,False
22,1.7063918254095478e-07,-5.987209096489088e-07,0,-1,PGMT,True
23,1.1410489422075676e-07,-8.912774782932065e-07,0,-1,TRE6PS,True
24,3.5963509814607164e-07,6.961934396337854e-07,0,-1,MELTGH,False
25,-7.845351689683699e-07,-4.5157388704752943e-07,0,-1,SBTD_D2,False
26,1.5766459886268347e-07,1.1263831917601719e-06,0,-1,16GS,False
27,1.2535048695722084e-05,-1.4060414257811849e-05,0,-1,CTPS1,False
28,2.46822900787369e-06,-0.00012508062313277418,0,-1,CTPS2,False
29,1.6499934181457565e-07,-4.145715695735852e-08,0,-1,ERGSTGLCT,False
30,2.343793613614198e-06,-1.72866109970915e-06,0,-1,GALT,False
31,4.917257262135322e-07,9.831558497527815e-07,0,-1,GLCP,False
32,1.6229322666316826e-07,1.0878561622768013e-06,0,-1,GLCS2,False
33,1.4896798694596924e-07,1.1263441779402195e-06,0,-1,GLYGS,False
34,-1.4392066151197591e-06,-9.068218351282464e-06,0,-1,MEVK4,False
35,-2.0602237435635162e-06,-3.6930385308164837e-07,0,-1,RNTR4,False
36,1.5678538674082643e-06,-2.125842881735285e-06,0,-1,UDPACGLP,False
37,-1.1896700154098716e-06,1.0580226084966338e-06,0,-1,UTPH1,False
38,2.1807046474142666e-08,5.574537470728891e-07,0,-1,CHTNS,False
39,-2.7616746440528583e-06,-1.0572256714580508e-05,0,-1,NTD2,False
40,-7.008227392857336e-08,1.0750397886338803e-06,0,-1,NDPK6,False
41,2.2876015536438254e-06,-7.218603575796789e-05,0,-1,TRDR,True
42,-4.5311193491714974e-08,2.840726544481309e-07,0,-1,URIDK2r,False
43,-9.263566298142734e-07,9.311608178616537e-07,0,-1,GALKr,False
44,4.123539161307588e-07,-1.0149911138804257e-05,0,-1,OMPDC,True
45,2.475921768323175e-06,-1.2282260632358322e-05,0,-1,UPPRT,False
46,7.964030230359076e-07,4.2495757211075125e-07,0,-1,URIK1,False
47,2.897994630136902e-06,-4.925324122113939e-05,0,-1,URIK2,False
48,-1.6383153787769e-07,-2.35985259639665e-06,0,-1,AATA,True
49,1.237600356758517e-06,-7.246294531013109e-07,0,-1,ABTA,False
50,-9.429799462112864e-09,-2.0536219412850554e-06,0,-1,ADCS,False
51,5.135986635679268e-06,-4.088433508957212e-06,0,-1,AGAT_SC,True
52,2.125088495452676e-08,-1.3542208103907438e-05,0,-1,AGTi,False
53,-3.612386697202097e-07,2.1480850247168615e-07,0,-1,AHSERL,False
54,-3.0063746154773696e-06,-0.00037274849288020107,0,-1,ALATA_L,False
